S Lasith Malinga
A Mishra
Scott Boland
Nayan Doshi
Pat Cummins
DNT Zoysa
Pawan Suyal
Andrew Flintoff
Siddharth Chitnis
Shoaib Malik
MA Khote
Luke Wright
D Kalyankrishna
Amit Uniyal
Kyle Abbott
Adam Gilchrist
Mohammad Hafeez
Ajinkya Rahane
LA Carseldine
SS Mundhe
GH Vihari
T Henderson
GR Napier
Jeevan Mendis
Mandeep Singh
PM Sarvesh Kumar
Harmeet Singh
Clint McKay
SB Joshi
Abhishek Jhunjhunwala
Dwaraka Ravi Teja
Aaron Finch
Dinesh Salunkhe
Ashley Noffke
Jimmy Neesham
Ronit More
Ben Laughlin
Gurinder Sandhu
Andre Nel
Akshath Reddy
Adam Milne
S Vidyut
Lendl Simmons
Brett Geeves
TP Sudhindra
Manoj Tiwary
Cameron White
Shardul Thakur
Nitish Rana
Mithun Manhas
Nathan Rimmington
Sachin Rana
Nathan McCullum
Kane Williamson
Y Gnaneswara Rao
Ambati Rayudu
Colin Munro
RS Gavaskar
Suryakumar Yadav
Abhishek Raut
Murali Vijay
Deepak Chahar
Adam Voges
K Goel
Daniel Harris
Krishnakant Upadhyay
Swapnil Singh
Sachin Tendulkar
Asad Pathan
Faiz Fazal
Kemar Roach
Abrar Kazi
RA Shaikh
Sean Abbott
VS Yeligati
Ben Rohrer
Ross Taylor
RR Bose
C Ganapathy
Abdur Razzak
Mashrafe Mortaza
Steve Smith
Michael Neser
Sunny Gupta
Francois du Plessis
S Sriram
Chamara Kapugedera
Raju Bhatkal
P Prasanth
Vijay Shankar
Bharat Chipli
LPC Silva
I Malhotra
