Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
DJ Hussey (AUS),2008-2012,39,36,3,756,88,22.9,623,121.34,0,3,4,41,34
PR Stirling (IRE),2009-2016,37,36,4,751,79,23.46,586,128.15,0,5,5,99,18
KJ Coetzer (SCOT),2008-2016,35,33,2,750,70,24.19,655,114.5,0,2,2,72,25
Q de Kock (SA),2012-2016,29,29,4,742,52,29.68,578,128.37,0,1,2,88,23
KA Pollard (WI),2008-2016,50,44,10,742,63,21.82,537,138.17,0,2,1,53,39
J Charles (WI),2011-2016,34,33,0,724,84,21.93,595,121.68,0,4,4,84,26
MEK Hussey (AUS),2005-2012,38,30,11,721,60,37.94,529,136.29,0,4,1,58,25
RS Bopara (ENG),2008-2014,38,35,10,711,65,28.44,599,118.69,0,3,0,54,17
Mushfiqur Rahim (BDESH),2006-2016,57,49,9,703,50,17.57,627,112.12,0,1,3,58,17
Asghar Stanikzai (AFG),2010-2016,36,32,2,693,62,23.1,664,104.36,0,3,2,41,33
LD Chandimal (SL),2010-2016,45,39,1,687,58,18.07,659,104.24,0,4,0,64,15
Mahmudullah (BDESH),2007-2016,53,46,10,686,64,19.05,593,115.68,0,2,2,50,25
GC Wilson (IRE),2008-2016,46,39,4,673,45,19.22,718,93.73,0,0,4,63,5
JH Kallis (SA),2005-2012,25,23,4,666,73,35.05,558,119.35,0,5,0,56,20
Samiullah Shenwari (AFG),2010-2016,43,38,8,643,61,21.43,538,119.51,0,1,0,48,20
SJ Myburgh (Neth),2012-2016,27,26,2,636,71,26.5,516,123.25,0,5,5,72,21
MDKJ Perera (SL),2013-2016,25,25,0,635,84,25.4,487,130.39,0,5,0,66,23
ST Jayasuriya (SL),2006-2011,31,30,3,629,88,23.29,487,129.15,0,4,4,76,23
NLTC Perera (SL),2010-2016,54,45,17,623,49,22.25,432,144.21,0,0,5,50,29
Mohammad Nabi (AFG),2010-2016,45,42,4,621,52,16.34,473,131.28,0,1,3,39,30
MR Swart (Neth),2012-2016,26,25,2,621,89,27,537,115.64,0,4,1,53,16
PW Borren (Neth),2008-2016,40,35,5,618,57,20.6,505,122.37,0,1,1,58,18
CK Kapugedera (SL),2006-2016,38,34,6,604,48,21.57,511,118.19,0,0,0,47,24
Sabbir Rahman (BDESH),2014-2016,26,25,5,604,80,30.2,502,120.31,0,3,0,60,15
CJ Chibhabha (ZIM),2006-2016,30,29,0,600,67,20.68,552,108.69,0,5,2,71,11
JE Root (ENG),2012-2016,21,19,3,600,90,37.5,437,137.29,0,4,0,64,14
W Barresi (Neth),2012-2016,32,31,4,596,75,22.07,491,121.38,0,3,3,50,19
KJ O'Brien (IRE),2008-2016,52,45,9,596,42,16.55,503,118.48,0,0,8,44,23
Salman Butt (PAK),2007-2010,24,23,2,595,74,28.33,551,107.98,0,3,1,66,10
BRM Taylor (ZIM),2006-2014,26,26,5,594,75,28.28,480,123.75,0,5,4,52,17
RD Berrington (SCOT),2008-2016,36,30,3,590,100,21.85,503,117.29,1,0,5,60,12
PD Collingwood (ENG),2005-2011,35,33,2,583,79,18.8,459,127.01,0,3,3,37,24
DR Smith (WI),2006-2015,33,32,0,582,72,18.18,474,122.78,0,3,1,62,31
SB Styris (NZ),2005-2010,31,29,2,578,66,21.4,483,119.66,0,1,0,40,25
ADS Fletcher (WI),2008-2016,32,31,4,576,84,21.33,540,106.66,0,5,5,39,27
JA Morkel (SA),2005-2015,50,38,11,572,43,21.18,402,142.28,0,0,1,29,39
MN Waller (ZIM),2011-2016,28,27,5,567,68,25.77,414,136.95,0,1,2,38,26
MJ Lumb (ENG),2010-2014,27,27,1,552,63,21.23,413,133.65,0,3,1,64,21
DJG Sammy (WI),2007-2016,66,50,16,534,42,15.7,359,148.74,0,0,3,42,27
C Kieswetter (ENG),2010-2012,25,25,1,526,63,21.91,470,111.91,0,3,2,47,23
Babar Hayat (HK),2014-2016,21,21,4,515,122,30.29,392,131.37,1,2,2,42,20
V Sibanda (ZIM),2007-2016,26,26,1,511,59,20.44,503,101.59,0,1,3,52,11
CO Obuya (Kenya),2007-2013,26,24,6,507,75,28.16,463,109.5,0,3,3,37,10
Karim Sadiq (AFG),2010-2016,34,34,0,505,72,14.85,456,110.74,0,1,4,58,9
SC Williams (ZIM),2006-2016,24,24,2,501,58,22.77,409,122.49,0,3,2,48,8
Imran Nazir (PAK),2007-2012,25,24,1,500,72,21.73,370,135.13,0,3,2,59,22
C Munro (NZ),2012-2016,28,25,5,500,73,25,343,145.77,0,3,1,34,31
MJ Clarke (AUS),2005-2010,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10
Najibullah Zadran (AFG),2012-2016,27,22,6,484,60,30.25,343,141.1,0,1,0,28,25
JDP Oram (NZ),2005-2012,36,30,7,474,66,20.6,339,139.82,0,2,3,38,22
GJ Bailey (AUS),2012-2016,29,25,7,470,63,26.11,334,140.71,0,2,1,37,20
NJ O'Brien (IRE),2008-2016,30,28,2,466,50,17.92,475,98.1,0,1,0,40,7
Noor Ali Zadran (AFG),2010-2016,18,18,1,465,63,27.35,472,98.51,0,3,1,39,4
JEC Franklin (NZ),2006-2013,38,31,8,463,60,20.13,391,118.41,0,2,2,28,23
JD Ryder (NZ),2008-2014,22,21,1,457,62,22.85,358,127.65,0,3,2,47,18
Nawroz Mangal (AFG),2010-2015,30,30,3,454,65,16.81,415,109.39,0,2,4,35,18
Mohammad Ashraful (BDESH),2007-2013,23,23,0,450,65,19.56,356,126.4,0,2,2,48,11
Younis Khan (PAK),2006-2010,25,23,3,442,51,22.1,364,121.42,0,2,2,31,12
SPD Smith (AUS),2010-2016,30,25,5,431,90,21.55,352,122.44,0,2,1,34,11
D Ramdin (WI),2006-2016,58,38,12,421,55,16.19,364,115.65,0,1,2,39,8
PL Mommsen (SCOT),2012-2016,24,19,7,419,68,34.91,329,127.35,0,2,1,32,11
S Dhawan (INDIA),2011-2016,22,22,2,416,60,20.8,367,113.35,0,2,1,49,12
MW Machan (SCOT),2013-2016,13,13,3,407,67,40.7,318,127.98,0,3,0,37,7
EC Joyce (ENG/IRE),2006-2014,18,15,3,405,78,33.75,431,93.96,0,1,0,30,5
TLW Cooper (Neth),2012-2016,18,17,3,404,72,28.85,306,132.02,0,2,2,38,16
BJ Haddin (AUS),2006-2014,34,29,6,402,47,17.47,351,114.52,0,0,2,30,13
RT Ponting (AUS),2005-2009,17,16,2,401,98,28.64,302,132.78,0,2,2,41,11
HH Gibbs (SA),2005-2010,23,23,1,400,90,18.18,318,125.78,0,3,4,45,12
Gulbadin Naib (AFG),2012-2016,29,26,7,397,56,20.89,320,124.06,0,1,2,28,18
V Sehwag (INDIA),2006-2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16
Abdul Razzaq (PAK),2006-2013,32,29,10,393,46,20.68,337,116.61,0,0,2,21,21
MS Chapman (HK),2014-2016,19,18,1,392,63,23.05,347,112.96,0,1,0,34,9
Shaiman Anwar (UAE),2014-2016,18,18,1,383,54,22.52,343,111.66,0,1,1,29,15
AM Rahane (INDIA),2011-2016,20,20,2,375,61,20.83,331,113.29,0,1,2,32,6
CS MacLeod (SCOT),2009-2016,24,23,2,372,57,17.71,363,102.47,0,3,3,29,9
Nasir Hossain (BDESH),2011-2016,31,24,4,370,50,18.5,326,113.49,0,2,2,30,7
Mashrafe Mortaza (BDESH),2006-2016,49,35,10,366,36,14.64,266,137.59,0,0,5,27,23
BN Cooper (Neth),2013-2016,23,20,5,365,66,24.33,314,116.24,0,2,2,31,13
Nasir Jamshed (PAK),2012-2013,18,18,1,363,56,21.35,320,113.43,0,2,1,34,12
Shafiqullah (AFG),2010-2016,30,27,8,360,51,18.94,253,142.29,0,1,2,26,21
Sharjeel Khan (PAK),2013-2016,15,15,0,360,59,24,262,137.4,0,2,0,48,13
L Ronchi (AUS/NZ),2008-2016,29,23,6,359,51,21.11,252,142.46,0,1,2,30,14
Anamul Haque (BDESH),2012-2015,13,13,2,355,58,32.27,301,117.94,0,1,1,38,12
OA Shah (ENG),2007-2009,17,15,1,347,55,24.78,284,122.18,0,1,0,26,13
RR Patel (Kenya),2008-2013,22,19,2,345,52,20.29,298,115.77,0,1,1,16,20
AD Russell (WI),2011-2016,43,35,11,345,43,14.37,267,129.21,0,0,6,25,18
SO Tikolo (Kenya),2007-2013,15,15,3,345,56,28.75,281,122.77,0,2,3,46,6
S Chanderpaul (WI),2006-2010,22,22,5,343,41,20.17,347,98.84,0,0,0,34,5
Sikandar Raza (ZIM),2013-2016,26,25,0,341,59,13.64,329,103.64,0,1,0,28,6
Sarfraz Ahmed (PAK),2010-2016,25,16,6,337,76,33.7,274,122.99,0,2,0,35,4
A Symonds (AUS),2005-2009,14,11,4,337,85,48.14,199,169.34,0,2,2,33,10
RJ Nicol (NZ),2010-2013,21,19,0,327,58,17.21,296,110.47,0,2,2,33,11
RR Rossouw (SA),2014-2016,15,14,3,327,78,29.72,237,137.97,0,2,2,29,12
AA Obanda (Kenya),2007-2013,24,22,2,325,79,16.25,299,108.69,0,1,3,43,6
LE Bosman (SA),2006-2010,14,14,1,323,94,24.84,219,147.48,0,3,2,27,20
CJ Anderson (NZ),2012-2016,25,18,2,315,82,19.68,246,128.04,0,1,3,22,14
ML Hayden (AUS),2005-2007,9,9,3,308,73,51.33,214,143.92,0,4,0,37,13
JJ Roy (ENG),2014-2016,16,16,0,308,78,19.25,239,128.87,0,1,3,30,13
MH Cross (SCOT),2013-2016,19,15,1,306,60,21.85,219,139.72,0,1,1,36,11
NL McCullum (NZ),2007-2016,63,41,15,299,36,11.5,297,100.67,0,0,4,19,8
Soumya Sarkar (BDESH),2015-2016,19,19,0,299,48,15.73,267,111.98,0,0,3,35,9
RR Sarwan (WI),2007-2010,18,16,3,298,59,22.92,286,104.19,0,2,1,19,6
Nizakat Khan (HK),2014-2016,20,18,0,295,62,16.38,257,114.78,0,1,3,18,12
HDRL Thirimanne (SL),2012-2016,26,20,2,291,44,16.16,267,108.98,0,0,1,27,5
AN Kervezee (Neth),2009-2012,10,10,1,289,58,32.11,262,110.3,0,2,0,19,6
A Bagai (Can),2008-2013,9,9,2,284,67,40.57,249,114.05,0,2,0,27,0
AC Gilchrist (AUS),2005-2008,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13
Zeeshan Maqsood (Oman),2015-2016,12,11,0,269,52,24.45,208,129.32,0,1,2,36,7
MV Boucher (SA),2005-2010,25,21,6,268,36,17.86,275,97.45,0,0,0,22,2
T Taibu (ZIM),2007-2012,17,15,6,259,45,28.77,257,100.77,0,0,2,19,2
Adnan Ilyas (Oman),2015-2016,12,11,0,258,54,23.45,218,118.34,0,1,0,16,8
SE Marsh (AUS),2008-2016,15,15,1,255,47,18.21,248,102.82,0,0,2,15,10
Mohammad Shahzad (UAE),2015-2016,15,15,2,252,52,19.38,213,118.3,0,1,2,21,10
DT Johnston (IRE),2008-2013,30,19,7,249,62,20.75,184,135.32,0,1,1,13,11
RV Uthappa (INDIA),2007-2015,13,12,2,249,50,24.9,211,118,0,1,1,26,6
Muhammad Usman (UAE),2016-2016,11,11,2,248,49,27.55,226,109.73,0,0,0,27,8
UT Khawaja (AUS),2016-2016,9,9,0,241,58,26.77,182,132.41,0,1,0,31,5
Anshuman Rath (HK),2015-2016,17,16,2,240,41,17.14,285,84.21,0,0,1,23,1
Rohan Mustafa (UAE),2014-2016,16,15,1,240,77,17.14,221,108.59,0,1,1,23,9
MS Wade (AUS),2011-2016,26,17,5,239,72,19.91,218,109.63,0,1,0,11,9
J Mubarak (SL),2007-2009,16,15,4,238,46,21.63,188,126.59,0,0,2,21,8
Rizwan Cheema (Can),2008-2013,16,16,1,238,68,15.86,219,108.67,0,1,3,23,15
Khalid Latif (PAK),2008-2016,13,13,2,237,59,21.54,229,103.49,0,1,1,25,6
P Khadka (Nepal),2014-2015,11,11,1,236,54,23.6,231,102.16,0,1,1,19,1
RE Levi (SA),2012-2012,13,13,2,236,117,21.45,167,141.31,1,1,3,20,15
YK Pathan (INDIA),2007-2012,22,18,5,236,37,18.15,161,146.58,0,0,3,11,17
DM Bravo (WI),2010-2014,12,11,0,235,42,21.36,210,111.9,0,0,2,20,9
ES Szwarczynski (Neth),2008-2013,14,12,1,233,45,21.18,243,95.88,0,0,0,22,2
F Behardien (SA),2012-2016,25,17,7,232,36,23.2,203,114.28,0,0,1,18,5
JF Mooney (IRE),2009-2015,27,23,9,231,31,16.5,214,107.94,0,0,0,25,1
AR Cusack (IRE),2008-2015,37,21,6,229,65,15.26,177,129.37,0,1,1,17,6
CR Ervine (ZIM),2010-2015,16,15,0,229,42,15.26,287,79.79,0,0,1,21,2
Aftab Ahmed (BDESH),2006-2010,11,11,1,228,62,22.8,178,128.08,0,1,0,26,6
T Mishra (Kenya),2007-2013,15,15,0,227,38,15.13,263,86.31,0,0,2,15,4
TAM Siriwardana (SL),2015-2016,17,15,3,225,42,18.75,168,133.92,0,0,2,14,10
MN van Wyk (SA),2007-2015,8,7,1,225,114,37.5,157,143.31,1,1,0,19,14
Sohaib Maqsood (PAK),2013-2016,20,18,2,221,37,13.81,201,109.95,0,0,2,15,8
H Patel (Can),2010-2013,11,11,1,220,88,22,218,100.91,0,1,2,19,2
AD Poynter (IRE),2012-2016,19,14,3,219,57,19.9,184,119.02,0,1,1,21,8
Tanwir Afzal (HK),2014-2016,21,18,2,219,56,13.68,173,126.58,0,1,4,9,15
TT Bresnan (ENG),2006-2014,34,22,9,216,47,16.61,170,127.05,0,0,3,16,6
DO Obuya (Kenya),2007-2012,10,10,2,216,65,27,228,94.73,0,2,1,22,4
Usman Ghani (AFG),2015-2016,9,9,0,216,69,24,199,108.54,0,2,0,26,5
RN ten Doeschate (Neth),2008-2010,9,9,4,214,56,42.8,166,128.91,0,1,0,11,7
RG Aga (Kenya),2008-2013,20,18,2,213,52,13.31,196,108.67,0,1,0,15,5
Amjad Javed (UAE),2014-2016,15,15,2,211,76,16.23,183,115.3,0,1,1,15,10
CA Ingram (SA),2010-2012,9,9,1,210,78,26.25,162,129.62,0,1,1,23,7
DL Vettori (NZ),2007-2014,34,22,6,205,38,12.81,190,107.89,0,0,3,14,2
JM Kemp (SA),2005-2007,8,7,3,203,89,50.75,160,126.87,0,1,0,17,10
DS Smith (WI),2007-2009,6,6,0,203,61,33.83,161,126.08,0,2,0,22,5
JJ Atkinson (HK),2014-2016,13,12,0,202,53,16.83,187,108.02,0,1,3,22,6
R Gunasekera (Can),2012-2013,8,8,0,202,65,25.25,188,107.44,0,1,0,23,4
J Botha (SA),2006-2012,40,20,9,201,34,18.27,165,121.81,0,0,1,15,9
Jatinder Singh (Oman),2015-2016,11,11,0,200,42,18.18,221,90.49,0,0,0,16,1
MM Ali (ENG),2014-2016,19,17,4,199,72,15.3,174,114.36,0,1,6,19,6
S Vesawkar (Nepal),2014-2015,10,10,0,199,40,19.9,209,95.21,0,0,0,16,3
BMAJ Mendis (SL),2011-2013,16,12,3,197,43,21.88,158,124.68,0,0,1,18,5
JM Bairstow (ENG),2011-2016,20,15,4,195,60,17.72,181,107.73,0,1,0,16,5
Fawad Alam (PAK),2007-2010,24,17,6,194,28,17.63,169,114.79,0,0,1,7,7
KMDN Kulasekara (SL),2008-2016,50,26,6,193,31,9.65,163,118.4,0,0,4,11,7
Asad Shafiq (PAK),2010-2012,10,10,0,192,38,19.2,185,103.78,0,0,0,19,2
Mukhtar Ahmed (PAK),2015-2015,6,6,0,192,83,32,134,143.28,0,2,0,23,5
HG Munsey (SCOT),2015-2016,13,11,2,190,62,21.11,135,140.74,0,1,3,35,2
Sohail Tanvir (PAK),2007-2016,54,23,7,190,41,11.87,158,120.25,0,0,2,15,9
SR Patel (ENG),2011-2013,18,14,2,189,67,15.75,173,109.24,0,1,2,17,5
IR Bell (ENG),2006-2014,8,8,1,188,60,26.85,163,115.33,0,1,0,23,2
CD McMillan (NZ),2005-2007,8,7,1,187,57,31.16,117,159.82,0,1,0,8,14
SP Patil (UAE),2014-2016,18,13,0,187,37,14.38,218,85.77,0,0,3,16,4
BJ Hodge (AUS),2007-2014,15,11,4,183,36,26.14,144,127.08,0,0,0,9,7
KL Rahul (INDIA),2016-2016,5,4,2,179,110,89.5,112,159.82,1,0,1,17,8
Nazimuddin (BDESH),2007-2008,7,7,0,178,81,25.42,158,112.65,0,1,2,13,10
LPC Silva (SL),2006-2011,16,15,2,175,38,13.46,177,98.87,0,0,0,19,3
NN Odhiambo (Kenya),2007-2013,24,20,2,174,41,9.66,177,98.3,0,0,3,17,4
L Vincent (NZ),2006-2007,9,9,0,174,42,19.33,174,100,0,0,1,17,3
R Mutumbami (ZIM),2015-2016,14,14,3,173,43,15.72,168,102.97,0,0,1,11,8
IK Pathan (INDIA),2006-2012,24,14,7,172,33,24.57,144,119.44,0,0,0,9,7
M Vijay (INDIA),2010-2015,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8
Khawar Ali (Oman),2015-2016,10,9,0,166,38,18.44,181,91.71,0,0,0,18,5
ME Trescothick (ENG),2005-2006,3,3,0,166,72,55.33,131,126.71,0,2,0,23,1
Umar Gul (PAK),2007-2016,60,27,9,165,32,9.16,156,105.76,0,0,6,11,10
TN de Grooth (Neth),2008-2013,15,13,5,163,49,20.37,155,105.16,0,0,0,16,1
G Malla (Nepal),2014-2015,11,11,0,163,48,14.81,160,101.87,0,0,1,22,2
JM Vince (ENG),2015-2016,5,5,0,163,46,32.6,137,118.97,0,0,0,18,4
Aamir Kaleem (Oman),2015-2016,11,10,2,161,46,20.12,143,112.58,0,0,2,15,3
H Davids (SA),2012-2013,9,9,0,161,68,17.88,134,120.14,0,2,2,18,4
Junaid Siddique (BDESH),2007-2012,7,7,0,159,71,22.71,108,147.22,0,1,1,16,7
RR Watson (SCOT),2007-2010,10,9,0,159,54,17.66,141,112.76,0,1,1,22,1
JL Ontong (SA),2008-2015,14,10,0,158,48,15.8,109,144.95,0,0,1,6,11
Mudassar Bukhari (Neth),2008-2016,38,26,8,157,28,8.72,152,103.28,0,0,1,10,4
GD Elliott (NZ),2009-2016,16,14,4,157,27,15.7,149,105.36,0,0,0,10,2
DSNFG Jayasuriya (SL),2015-2016,11,10,0,157,40,15.7,141,111.34,0,0,0,11,7
Aizaz Khan (HK),2014-2016,20,17,7,153,31,15.3,152,100.65,0,0,1,11,4
HD Rutherford (NZ),2013-2013,7,6,0,151,62,25.16,104,145.19,0,1,0,12,9
BA Stokes (ENG),2011-2016,18,15,4,146,31,13.27,102,143.13,0,0,1,14,6
JP Faulkner (AUS),2012-2016,21,15,6,142,41,15.77,127,111.81,0,0,0,5,5
AC Voges (AUS),2007-2013,7,5,2,139,51,46.33,114,121.92,0,1,0,8,2
IJL Trott (ENG),2007-2010,7,7,1,138,51,23,144,95.83,0,1,0,9,3
KD Mills (NZ),2005-2014,42,19,7,137,33,11.41,123,111.38,0,0,4,11,5
DF Watts (SCOT),2007-2012,11,9,0,137,46,15.22,127,107.87,0,0,2,13,3
AR White (IRE),2008-2012,18,12,6,137,29,22.83,128,107.03,0,0,0,12,2
MR Marsh (AUS),2011-2016,9,9,3,133,36,22.16,104,127.88,0,0,0,6,8
GEF Barnett (Can),2008-2010,5,5,1,131,36,32.75,136,96.32,0,0,0,16,0
WU Tharanga (SL),2006-2012,10,10,0,131,37,13.1,115,113.91,0,0,2,12,3
AC Botha (IRE),2008-2010,14,11,1,130,38,13,141,92.19,0,0,2,12,1
Naeem Islam (BDESH),2008-2013,10,10,1,130,28,14.44,114,114.03,0,0,0,8,7
CJ Jordan (ENG),2014-2016,19,12,4,128,27,16,110,116.36,0,0,0,11,5
Mirwais Ashraf (AFG),2010-2016,25,19,8,128,28,11.63,115,111.3,0,0,2,5,8
CK Coventry (ZIM),2010-2015,13,12,2,127,30,12.7,90,141.11,0,0,2,14,6
PG Fulton (NZ),2006-2012,12,12,1,127,25,11.54,140,90.71,0,0,2,7,6
MA Ouma (Kenya),2007-2013,22,19,1,127,19,7.05,160,79.37,0,0,3,15,1
MJ Prior (ENG),2007-2010,10,8,2,127,32,21.16,100,127,0,0,1,11,5
SP Narine (WI),2012-2016,39,16,8,126,30,15.75,92,136.95,0,0,2,11,5
AJ Redmond (NZ),2009-2010,7,6,0,126,63,21,84,150,0,1,0,19,2
RE van der Merwe (Neth/SA),2009-2016,21,12,5,125,48,17.85,102,122.54,0,0,1,5,7
TWM Latham (NZ),2012-2015,12,9,0,124,26,13.77,121,102.47,0,0,0,9,1
RJ Peterson (SA),2006-2014,21,12,4,124,34,15.5,113,109.73,0,0,1,13,2
AD Mascarenhas (ENG),2007-2009,14,13,5,123,31,15.37,100,123,0,0,3,8,5
RR Hendricks (SA),2014-2015,5,5,0,121,49,24.2,117,103.41,0,0,1,13,1
DR Martyn (AUS),2005-2006,4,4,0,120,96,30,74,162.16,0,1,0,11,5
PJ Moor (ZIM),2016-2016,8,7,2,120,35,24,108,111.11,0,0,0,4,8
DM de Silva (SL),2015-2016,4,4,0,119,62,29.75,105,113.33,0,1,0,8,0
SCJ Broad (ENG),2006-2014,56,26,10,118,18,7.37,118,100,0,0,2,7,3
Ziaur Rahman (BDESH),2012-2014,14,12,3,117,40,13,91,128.57,0,0,3,3,10
Babar Azam (PAK),2016-2016,4,4,3,116,55,116,90,128.88,0,1,0,11,2
Shahzaib Hasan (PAK),2009-2010,10,10,0,116,35,11.6,130,89.23,0,0,3,13,3
A Vala (PNG),2015-2016,6,6,1,116,34,23.2,130,89.23,0,0,0,10,3
DL Maddy (ENG),2007-2007,4,4,0,113,50,28.25,80,141.25,0,1,0,12,3
R Ashwin (INDIA),2010-2016,45,10,6,112,31,28,108,103.7,0,0,0,13,1
SP Khakurel (Nepal),2014-2015,8,8,0,112,56,14,139,80.57,0,1,0,10,1
MD Shanaka (SL),2015-2016,11,11,1,112,27,11.2,113,99.11,0,0,1,5,8
AP Devcich (NZ),2013-2014,4,4,0,111,59,27.75,79,140.5,0,1,0,17,2
E Lewis (WI),2016-2016,5,5,0,111,100,22.2,71,156.33,1,0,1,6,9
SP Fleming (NZ),2005-2006,5,5,0,110,38,22,85,129.41,0,0,0,20,0
Anwar Ali (PAK),2008-2016,16,11,4,109,46,15.57,77,141.55,0,0,0,6,6
MG Johnson (AUS),2007-2013,30,17,7,109,28,10.9,95,114.73,0,0,2,8,3
Harbhajan Singh (INDIA),2006-2016,28,13,5,108,21,13.5,87,124.13,0,0,1,11,4
B Zuiderent (Neth),2009-2010,6,6,1,108,43,21.6,124,87.09,0,0,0,8,1
Mohammad Rizwan (PAK),2015-2016,10,7,1,106,33,17.66,109,97.24,0,0,0,9,1
JR Hopes (AUS),2005-2010,12,7,2,105,30,21,98,107.14,0,0,0,7,1
WD Parnell (SA),2009-2015,35,9,6,104,29,34.66,85,122.35,0,0,0,9,3
GP Swann (ENG),2008-2012,39,16,11,104,34,20.8,89,116.85,0,0,2,9,1
RA Jadeja (INDIA),2009-2016,39,17,5,103,25,8.58,116,88.79,0,0,2,6,1
SM Davies (ENG),2009-2011,5,5,0,102,33,20.4,82,124.39,0,0,0,12,0
