"Player","Mat","Inns","NO","Runs","HS","Ave","BF","SR","hundreds","fiftys","fours","sixes","CLUSTER"
"Zaheer Khan","89","29","16","113","23","8.69","128","88.28","0","0","11","2","7","Z Khan"
"Daniel Vettori","34","17","9","121","29","15.12","113","107.07","0","0","11","2","7","DL Vettori"
"Ajit Agarkar","42","22","12","179","39","17.9","154","116.23","0","0","13","5","7","AB Agarkar"
"Chris Lynn","5","5","1","89","45","22.25","80","111.25","0","0","6","4","7","CA Lynn"
"Andrew McDonald","11","9","4","123","33","24.6","100","123","0","0","9","4","7","AB McDonald"
"NK Patel","9","6","2","121","57","30.25","119","101.68","0","1","14","1","7","NK Patel"
"Rob Quiney","7","7","0","103","51","14.71","102","100.98","0","1","12","3","7","RJ Quiney"
"Jos Buttler","14","14","3","255","41","23.18","184","138.58","0","0","23","11","7","JC Buttler"
"Kane Williamson","8","8","1","155","50","22.14","149","104.02","0","1","15","1","7","KS Williamson"
"Rishabh Pant","10","10","2","198","69","24.75","152","130.26","0","1","19","6","7","RR Pant"
"Michael Clarke","6","6","0","100","41","16.66","95","105.26","0","0","12","0","7","MJ Clarke"
"Aiden Blizzard","7","7","0","120","51","17.14","90","133.33","0","1","21","2","7","AC Blizzard"
"W Jaffer","8","8","0","130","50","16.25","121","107.43","0","1","14","3","7","W Jaffer"
"Chris Morris","39","20","13","285","82","40.71","171","166.66","0","1","18","17","7","CH Morris"
"Stephen Fleming","10","10","1","196","45","21.77","164","119.51","0","0","27","3","7","SP Fleming"
"Mitchell Johnson","43","25","12","131","16","10.07","136","96.32","0","0","7","6","7","MG Johnson"
"Davy Jacobs","7","7","0","92","32","13.14","98","93.87","0","0","10","4","7","DJ Jacobs"
"Hardik Pandya","20","17","5","156","61","13","125","124.8","0","1","13","8","7","HH Pandya"
"Marlon Samuels","10","10","1","132","46","14.66","141","93.61","0","0","8","5","7","MN Samuels"
"Ricky Ponting","10","9","0","91","28","10.11","128","71.09","0","0","5","2","7","RT Ponting"
"Kamran Akmal","6","6","1","128","53","25.6","78","164.1","0","1","13","8","7","Kamran Akmal"
"Callum Ferguson","9","8","2","98","23","16.33","117","83.76","0","0","9","0","7","CJ Ferguson"
"Dishant Yagnik","25","17","7","170","34","17","137","124.08","0","0","23","2","7","DH Yagnik"
"Paras Dogra","13","12","1","127","41","11.54","138","92.02","0","0","4","5","7","P Dogra"
"Bhuvneshwar Kumar","76","32","14","154","24","8.55","153","100.65","0","0","15","3","7","B Kumar"
"Mitchell Starc","27","12","5","96","29","13.71","98","97.95","0","0","10","0","7","MA Starc"
"S Vidyut","9","8","0","145","54","18.12","109","133.02","0","1","21","3","7","S Vidyut"
"Dale Steyn","90","35","13","166","19","7.54","158","105.06","0","0","14","3","7","DW Steyn"
"Michael Lumb","12","12","0","278","83","23.16","194","143.29","0","1","45","6","7","MJ Lumb"
"Simon Katich","11","11","1","241","75","24.1","186","129.56","0","2","26","8","7","SM Katich"
"Mitchell Marsh","20","14","2","225","38","18.75","196","114.79","0","0","9","14","7","MR Marsh"
"Mohnish Mishra","18","17","1","237","41","14.81","208","113.94","0","0","24","8","7","MD Mishra"
"Sachin Baby","15","7","1","122","33","20.33","86","141.86","0","0","9","5","7","Sachin Baby"
"Ryan McLaren","18","13","5","159","51","19.87","171","92.98","0","1","14","1","7","R McLaren"
"Yogesh Takawale","5","5","0","104","45","20.8","91","114.28","0","0","17","1","7","YV Takawale"
"Daniel Harris","4","4","0","111","47","27.75","101","109.9","0","0","11","5","7","DJ Harris"
"Jacob Oram","18","12","4","106","41","13.25","108","98.14","0","0","6","5","7","JDP Oram"
"Krunal Pandya","12","9","3","237","86","39.5","124","191.12","0","1","22","13","7","KH Pandya"
"Nitish Rana","4","3","0","104","70","34.66","75","138.66","0","1","7","8","7","N Rana"
"Siddharth Chitnis","11","8","1","99","38","14.14","89","111.23","0","0","10","2","7","SD Chitnis"
"Salman Butt","7","7","0","193","73","27.57","161","119.87","0","1","30","2","7","Salman Butt"
"Brett Lee","38","19","9","124","25","12.4","97","127.83","0","0","8","8","7","B Lee"
"Sarfaraz Khan","18","12","6","177","45","29.5","102","173.52","0","0","19","6","7","SN Khan"
"Murali Kartik","56","16","9","113","21","16.14","108","104.62","0","0","7","1","7","M Kartik"
"Scott Styris","12","10","3","131","36","18.71","133","98.49","0","0","10","3","7","SB Styris"
"Usman Khawaja","6","6","0","127","30","21.16","100","127","0","0","14","3","7","UT Khawaja"
"Ben Rohrer","8","8","2","193","64","32.16","140","137.85","0","1","21","5","7","BJ Rohrer"
"Morne Morkel","70","23","12","126","23","11.45","90","140","0","0","11","5","7","M Morkel"
"Faiz Fazal","12","11","1","183","45","18.3","173","105.78","0","0","22","1","7","FY Fazal"
"Rishi Dhawan","26","17","10","153","25","21.85","135","113.33","0","0","13","4","7","R Dhawan"
"Hashim Amla","6","6","0","157","96","26.16","119","131.93","0","1","20","4","7","HM Amla"
"Love Ablish","3","1","1","0","0","0","2","0","0","0","0","0","8","L Ablish"
"Jaskaran Singh","8","5","4","8","4","8","11","72.72","0","0","0","0","8","Jaskaran Singh"
"D du Preez","2","1","0","10","10","10","13","76.92","0","0","0","0","8","D du Preez"
"Pravin Tambe","33","6","4","18","7","9","39","46.15","0","0","1","0","8","PV Tambe"
"Sarabjit Ladda","9","2","1","0","0","0","9","0","0","0","0","0","8","S Ladda"
"C Nanda","3","1","0","0","0","0","1","0","0","0","0","0","8","C Nanda"
"TP Sudhindra","3","1","1","0","0","0","0","0","0","0","0","0","8","TP Sudhindra"
"Makhaya Ntini","9","2","1","11","11","11","18","61.11","0","0","2","0","8","M Ntini"
"Jasprit Bumrah","31","5","4","9","6","9","14","64.28","0","0","1","0","8","JJ Bumrah"
"Raju Bhatkal","1","1","0","0","0","0","2","0","0","0","0","0","8","RR Bhatkal"
"Suraj Randiv","8","1","0","2","2","2","4","50","0","0","0","0","8","S Randiv"
"Shahbaz Nadeem","48","14","5","24","6","2.66","61","39.34","0","0","1","0","8","S Nadeem"
"Murugan Ashwin","10","1","0","0","0","0","1","0","0","0","0","0","8","M Ashwin"
"Chris Jordan","9","1","0","3","3","3","4","75","0","0","0","0","8","CJ Jordan"
"Pat Cummins","4","1","0","0","0","0","2","0","0","0","0","0","8","PJ Cummins"
"Dirk Nannes","29","3","2","4","3","4","13","30.76","0","0","0","0","8","DP Nannes"
"SB Joshi","4","2","0","6","3","3","14","42.85","0","0","0","0","8","SB Joshi"
